,parentId,authorDisplayName,replyComment,publishedAt,likeCount
96,UgzY2CXVGaqGZMh3KyN4AaABAg,Tatiana Taman,Absolutely she is probably the best paid s*x worker of our days. She must have a wall of fame in the Red-light District.,2021-08-04T07:37:46Z,0
97,UgzY2CXVGaqGZMh3KyN4AaABAg,Binge Central,Oh snap,2021-07-27T04:24:44Z,1
98,UgwKOHV8sFxS2veOvGR4AaABAg,Kimberly Lustig,I said the same thing.,2021-07-27T06:14:27Z,0
99,UgwKOHV8sFxS2veOvGR4AaABAg,Binge Central,How will you do it,2021-07-27T04:26:19Z,2
100,UgxCjgKpggLPG9r13794AaABAg,Linda Alexander,"She would if this post wasn't a load of nonsense. Emilia is not I repeat NOT going to be in aquaman2. and never was. All these posts are just click bait, no basis in fact what so ever. Don't believe everything you read.",2021-08-29T13:33:24Z,1
101,UgxCjgKpggLPG9r13794AaABAg,Lulu N,I agree,2021-07-29T23:30:36Z,0
102,UgxCjgKpggLPG9r13794AaABAg,Binge Central,She’s one of the best,2021-07-27T04:26:34Z,1
103,Ugyj62W3g5uzJMyLXGJ4AaABAg,victor mendiola,Same,2021-08-12T02:32:30Z,0
104,Ugyj62W3g5uzJMyLXGJ4AaABAg,「Zebra Karma!」,Justice for Jhonny Depp,2021-07-29T09:00:00Z,2
105,Ugyj62W3g5uzJMyLXGJ4AaABAg,Shrimp Lord [GurApostle 9th of the twelve],Justice for Depp,2021-07-28T19:55:12Z,1
106,Ugyj62W3g5uzJMyLXGJ4AaABAg,Binge Central,JFJD :),2021-07-27T04:26:44Z,4
107,UgyMfyny3AOi7-YSnmp4AaABAg,mcafee0738,Yes it is unfortunately and that's just not right.,2021-07-27T14:34:20Z,0
108,UgxQcPhVMGJxBWhAhNV4AaABAg,Sky Simmons,@Binge Central yeah EMiLIA CLARKE for AQUAMAN!,2021-07-27T08:27:08Z,0
109,UgxQcPhVMGJxBWhAhNV4AaABAg,Binge Central,Emilia >>,2021-07-27T04:29:49Z,2
110,UgwCL_xt14Z3iISpCIp4AaABAg,mcafee0738,That's right it's only fair.,2021-07-27T14:31:01Z,3
111,UgwCL_xt14Z3iISpCIp4AaABAg,Binge Central,It’s only fair,2021-07-27T04:30:28Z,5
112,UgwyPgpANVSIzUG7RBp4AaABAg,Sharle Brooks,"They won't even release his movie, minamata in the USA.",2021-07-29T06:48:08Z,1
113,Ugw6VClPYCJrvf3GigB4AaABAg,Melissa Duarte,@Andy Dudley you don't use words or phrases like that. I understand he bad to try to defend her and the movie but he did it in the wrong way,2021-08-03T12:41:26Z,1
114,Ugw6VClPYCJrvf3GigB4AaABAg,Andy Dudley,@Melissa Duarte no it puts him in a bad position he not creat himself,2021-08-03T12:02:35Z,0
115,Ugw6VClPYCJrvf3GigB4AaABAg,Melissa Duarte,@Andy Dudley jason said her personal life and her work should not have anything to do with one another I'm sorry that makes him just as sick,2021-08-02T18:53:02Z,1
116,Ugw6VClPYCJrvf3GigB4AaABAg,Melissa Duarte,Jason has been defending her like mad what you talking about,2021-08-02T18:52:01Z,0
117,Ugw6VClPYCJrvf3GigB4AaABAg,eric luscombe,That's exactly how selfish she is willing to take down the movie and the cast fucked thing is if she did step down she's to stupid to realize she would show she is putting the cast above her own interests and score brownie points where she could probably get some fans back cause some will respect that. I do have to thank her though growing up I heard somebody hot can be so ugly but I never believed that I didn't care what a gorgeous girl did I would still think she's gorgeous well thank you amber I finally experienced it lol.,2021-07-30T16:52:59Z,2
118,Ugxls3NcSTlTxbNDxcl4AaABAg,mary.g Carpenter,"@Farabi Jd    Well thats good, we all know how that would go. Shes a good actress. Really?? Against domestic abuse. Question?  Truthfully?   How would you feel if this was all about YOU and her?  Would you still feel the same?  I dont think so. Nothing wrong with being a fan, you just picked a wrong one.",2021-10-06T16:03:38Z,0
119,Ugxls3NcSTlTxbNDxcl4AaABAg,Ana Lorente,Oookkk!!!,2021-09-29T18:59:47Z,0
120,Ugxls3NcSTlTxbNDxcl4AaABAg,Daenerys Targaryen,She will be always my Queen,2021-08-29T18:37:44Z,2
121,Ugxls3NcSTlTxbNDxcl4AaABAg,dani villaflor,YES!!!!🤙💕😘,2021-08-19T00:27:07Z,0
122,Ugxls3NcSTlTxbNDxcl4AaABAg,Farabi Jd,"@mary.g Carpenter My only interest is in acting.  Not about their personal lives.  I'm just a fan, not a court judge।",2021-08-09T01:52:25Z,0
123,UgxcHlttpiiGwmNoYR14AaABAg,Cordelia Daniels,Who knows though. I won't be paying good money to see the film.,2021-07-24T19:34:50Z,1
124,Ugwpk_SAEZeCfN2x0Xt4AaABAg,Jim Coleman,"@Cordelia Daniels 
Thank you",2021-07-24T22:31:25Z,1
125,Ugwpk_SAEZeCfN2x0Xt4AaABAg,Cordelia Daniels,Emily Clark,2021-07-24T22:24:42Z,0
126,Ugwpk_SAEZeCfN2x0Xt4AaABAg,Jim Coleman,"@TruLyt Services 
To me you are a sicko. That you didn't even hearing the Honest Truth and pen point them out on any Social Media at all.
The only people does that is from doing between Fan Base Pages to Fan Made Page on Social Media that we spot on the actual truth in the information and realy it back into the Public. 
From seeing that you are just a simple person that is just following a big crowds of Negative that doesn't even used any common sense from your generation.",2021-07-24T14:20:47Z,1
127,Ugwpk_SAEZeCfN2x0Xt4AaABAg,TruLyt Services,You should marry her. I'm sure you'd be happy together.,2021-07-24T13:54:47Z,0
128,Ugxyvkgn-0PMGGzWI-B4AaABAg,victor mendiola,Same,2021-08-12T02:33:33Z,1
129,UgyJk418lHgm4DF7BRh4AaABAg,Cordelia Daniels,"Just standing up for what is right. Silly many guys get blaimed for the wrong and their bad actions , now it us a famous women doing the abuse ! Then world needs to stand up for these guys ! Also , they hardly ever say that they are being abused by their spouses , BUT now maybe more will seek help.",2021-07-24T22:23:54Z,1
130,Ugxq-m5IU9TUYw_c81h4AaABAg,Binge Central,Seriously tho,2021-07-27T04:32:58Z,0
131,UgyGoBUp_WTQGTgVnHx4AaABAg,Shanman,Not a chance I'll watch unless they purge that skank,2021-08-28T05:34:58Z,0
132,UgyGoBUp_WTQGTgVnHx4AaABAg,itis808,You can include me in on boycotting Aquaman 2 AND all movies that ambuser turd is in...!!!!,2021-08-23T21:00:46Z,0
133,UgyGoBUp_WTQGTgVnHx4AaABAg,D e,"If amber is gone...
But I'll watch.",2021-08-19T18:36:14Z,0
134,UgyGoBUp_WTQGTgVnHx4AaABAg,victor mendiola,Same,2021-08-12T02:32:10Z,0
135,UgyGoBUp_WTQGTgVnHx4AaABAg,Tatiana Taman,"Same! Waiting for the day that Amber's billionaire f**k friends will get bored of her and all her drama; she won't be young and pretty for ever, her luck will run out eventually",2021-08-04T07:18:19Z,4
